Circuit Name,Attack Method,Key Found,Iteration,Time (s)
c432_libar_bolINPclk_2_unrolled.bench,SAT Attack,No,-,-
c432_libar_bolINPclk_2_unrolled.bench,APPSAT Attack,Yes,14,0.21232104301452637
c432_libar_bolINPclk_2_unrolled.bench,Sweep Attack,Yes,13,0.14510750770568848
c432_libar_nolINPclk_5_unrolled.bench,SAT Attack,No,-,-
c432_libar_nolINPclk_5_unrolled.bench,APPSAT Attack,No,-,-
c432_libar_nolINPclk_5_unrolled.bench,Sweep Attack,No,-,-
c432_libar_5_unrolled.bench,SAT Attack,No,-,-
c432_libar_5_unrolled.bench,APPSAT Attack,No,-,-
c432_libar_5_unrolled.bench,Sweep Attack,No,-,-
c432_libar_nolINPclk_7_unrolled.bench,SAT Attack,No,-,-
c432_libar_nolINPclk_7_unrolled.bench,APPSAT Attack,No,-,-
c432_libar_nolINPclk_7_unrolled.bench,Sweep Attack,No,-,-
c432_libar_2_unrolled.bench,SAT Attack,No,-,-
c432_libar_2_unrolled.bench,APPSAT Attack,No,-,-
c432_libar_2_unrolled.bench,Sweep Attack,No,-,-
c432_libar_bolINPclk_7_unrolled.bench,SAT Attack,No,-,-
c432_libar_bolINPclk_7_unrolled.bench,APPSAT Attack,Yes,13,0.6483364105224609
c432_libar_bolINPclk_7_unrolled.bench,Sweep Attack,No,-,-
c432_libar_3_unrolled.bench,SAT Attack,No,-,-
c432_libar_3_unrolled.bench,APPSAT Attack,No,-,-
c432_libar_3_unrolled.bench,Sweep Attack,No,-,-
c432_libar_4_unrolled.bench,SAT Attack,No,-,-
c432_libar_4_unrolled.bench,APPSAT Attack,No,-,-
c432_libar_4_unrolled.bench,Sweep Attack,No,-,-
c432_libar_bolINPclk_10_unrolled.bench,SAT Attack,No,-,-
c432_libar_bolINPclk_10_unrolled.bench,APPSAT Attack,No,-,-
c432_libar_bolINPclk_10_unrolled.bench,Sweep Attack,No,-,-
c432_libar_10_unrolled.bench,SAT Attack,No,-,-
c432_libar_10_unrolled.bench,APPSAT Attack,No,-,-
c432_libar_10_unrolled.bench,Sweep Attack,No,-,-
c432_libar_nolINPclk_4_unrolled.bench,SAT Attack,No,-,-
c432_libar_nolINPclk_4_unrolled.bench,APPSAT Attack,No,-,-
c432_libar_nolINPclk_4_unrolled.bench,Sweep Attack,No,-,-
c432_libar_bolINPclk_3_unrolled.bench,SAT Attack,No,-,-
c432_libar_bolINPclk_3_unrolled.bench,APPSAT Attack,Yes,11,0.294158935546875
c432_libar_bolINPclk_3_unrolled.bench,Sweep Attack,Yes,13,0.18391156196594238
c432_libar_nolINPclk_10_unrolled.bench,SAT Attack,No,-,-
c432_libar_nolINPclk_10_unrolled.bench,APPSAT Attack,No,-,-
c432_libar_nolINPclk_10_unrolled.bench,Sweep Attack,No,-,-
c432_libar_nolINPclk_3_unrolled.bench,SAT Attack,No,-,-
c432_libar_nolINPclk_3_unrolled.bench,APPSAT Attack,No,-,-
c432_libar_nolINPclk_3_unrolled.bench,Sweep Attack,No,-,-
c432_libar_1_unrolled.bench,SAT Attack,No,-,-
c432_libar_1_unrolled.bench,APPSAT Attack,Yes,17,0.24485087394714355
c432_libar_1_unrolled.bench,Sweep Attack,No,-,-
c432_libar_bolINPclk_4_unrolled.bench,SAT Attack,No,-,-
c432_libar_bolINPclk_4_unrolled.bench,APPSAT Attack,Yes,15,0.4349942207336426
c432_libar_bolINPclk_4_unrolled.bench,Sweep Attack,Yes,12,0.17044925689697266
c432_libar_bolINPclk_5_unrolled.bench,SAT Attack,No,-,-
c432_libar_bolINPclk_5_unrolled.bench,APPSAT Attack,Yes,17,0.6633520126342773
c432_libar_bolINPclk_5_unrolled.bench,Sweep Attack,Yes,14,0.24610257148742676
c432_libar_nolINPclk_2_unrolled.bench,SAT Attack,No,-,-
c432_libar_nolINPclk_2_unrolled.bench,APPSAT Attack,No,-,-
c432_libar_nolINPclk_2_unrolled.bench,Sweep Attack,Yes,11,0.08672380447387695
c432_libar_7_unrolled.bench,SAT Attack,No,-,-
c432_libar_7_unrolled.bench,APPSAT Attack,No,-,-
c432_libar_7_unrolled.bench,Sweep Attack,No,-,-
c432_libar_bolINPclk_2_unrolled.bench,SAT Attack,No,-,-
c432_libar_bolINPclk_2_unrolled.bench,APPSAT Attack,Yes,14,0.19513535499572754
c432_libar_bolINPclk_2_unrolled.bench,Sweep Attack,Yes,13,0.12875127792358398
c432_libar_nolINPclk_5_unrolled.bench,SAT Attack,No,-,-
c432_libar_nolINPclk_5_unrolled.bench,APPSAT Attack,No,-,-
c432_libar_nolINPclk_5_unrolled.bench,Sweep Attack,No,-,-
c432_libar_5_unrolled.bench,SAT Attack,No,-,-
c432_libar_5_unrolled.bench,APPSAT Attack,No,-,-
c432_libar_5_unrolled.bench,Sweep Attack,No,-,-
c432_libar_nolINPclk_7_unrolled.bench,SAT Attack,No,-,-
c432_libar_nolINPclk_7_unrolled.bench,APPSAT Attack,No,-,-
c432_libar_nolINPclk_7_unrolled.bench,Sweep Attack,No,-,-
c432_libar_2_unrolled.bench,SAT Attack,No,-,-
c432_libar_2_unrolled.bench,APPSAT Attack,No,-,-
c432_libar_2_unrolled.bench,Sweep Attack,No,-,-
c432_libar_bolINPclk_7_unrolled.bench,SAT Attack,No,-,-
c432_libar_bolINPclk_7_unrolled.bench,APPSAT Attack,Yes,13,0.5211672782897949
c432_libar_bolINPclk_7_unrolled.bench,Sweep Attack,No,-,-
c432_libar_3_unrolled.bench,SAT Attack,No,-,-
c432_libar_3_unrolled.bench,APPSAT Attack,No,-,-
c432_libar_3_unrolled.bench,Sweep Attack,No,-,-
c432_libar_4_unrolled.bench,SAT Attack,No,-,-
c432_libar_4_unrolled.bench,APPSAT Attack,No,-,-
c432_libar_4_unrolled.bench,Sweep Attack,No,-,-
